"","State","commercial_sex_act_offense","commercial_sex_act_cleared","commercial_sex_act_cleared_under_18","involuntary_servitude_offense","involuntary_servitude_cleared","involuntary_servitude_cleared_under_18","total_offenses","total_cleared","total_under_18","year"
"1","Alaska","11","8","0","1","0","0","12","8","0",2015
"2","Arizona","19","5","0","0","0","0","19","5","0",2015
"3","Arkansas","4","4","0","2","0","0","6","4","0",2015
"4","Colorado","12","3","0","22","9","0","34","12","0",2015
"5","Connecticut","1","0","0","1","0","0","2","0","0",2015
"6","Delaware","0","0","0","0","0","0","0","0","0",2015
"7","Florida","98","50","0","7","4","0","105","54","0",2015
"8","Hawaii","2","0","0","0","0","0","2","0","0",2015
"9","Illinois","21","0","0","3","0","0","24","0","0",2015
"10","Indiana","4","2","2","0","0","0","4","2","2",2015
"11","Kansas","0","0","0","2","1","0","2","1","0",2015
"12","Louisiana","121","92","2","2","2","0","123","94","2",2015
"13","Maryland","17","15","0","0","0","0","17","15","0",2015
"14","Massachusetts","0","0","0","3","3","0","3","3","0",2015
"15","Michigan","1","1","0","2","0","0","3","1","0",2015
"16","Minnesota","235","191","1","0","0","0","235","191","1",2015
"17","Mississippi","0","0","0","0","0","0","0","0","0",2015
"18","Missouri","16","15","3","0","0","0","16","15","3",2015
"19","Montana","1","0","0","0","0","0","1","0","0",2015
"20","Nevada","140","58","35","0","0","0","140","58","35",2015
"21","North Dakota","4","0","0","1","1","0","5","1","0",2015
"22","Ohio","1","0","0","0","0","0","1","0","0",2015
"23","Oklahoma","42","37","1","4","3","0","46","40","1",2015
"24","Oregon","0","0","0","0","0","0","0","0","0",2015
"25","Puerto Rico","0","0","0","0","0","0","0","0","0",2015
"26","Rhode Island","5","2","0","1","0","0","6","2","0",2015
"27","South Carolina","15","9","2","7","7","0","22","16","2",2015
"28","South Dakota","0","0","0","0","0","0","0","0","0",2015
"29","Tennessee","55","26","0","0","0","0","55","26","0",2015
"30","Texas","130","51","2","127","27","0","257","78","2",2015
"31","U.S. Virgin Islands","0","0","0","0","0","0","0","0","0",2015
"32","Utah","0","0","0","0","0","0","0","0","0",2015
"33","Vermont","2","2","0","0","0","0","2","2","0",2015
"34","Washington","13","3","0","1","1","0","14","4","0",2015
"35","Wisconsin","34","19","1","1","0","0","35","19","1",2015
"36","Wyoming","3","2","0","2","1","0","5","3","0",2015
