"","Table 1","..2","..3","..4","..5","..6","..7","..8","..9","..10"
"1","Human Trafficking",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Offenses and Clearances by State, 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","State","Commercial sex acts",NA,NA,"Involuntary servitude",NA,NA,"Total",NA,NA
"4",NA,"Offenses","Total  
cleared","Clearances 
under 18","Offenses","Total 
cleared","Clearances 
under 18","Offenses","Total 
cleared","Clearances 
under 18"
"5","Alaska","11","8","0","1","0","0","12","8","0"
"6","Arizona","19","5","0","0","0","0","19","5","0"
"7","Arkansas","4","4","0","2","0","0","6","4","0"
"8","Colorado","12","3","0","22","9","0","34","12","0"
"9","Connecticut","1","0","0","1","0","0","2","0","0"
"10","Delaware","0","0","0","0","0","0","0","0","0"
"11","Florida","98","50","0","7","4","0","105","54","0"
"12","Hawaii","2","0","0","0","0","0","2","0","0"
"13","Illinois","21","0","0","3","0","0","24","0","0"
"14","Indiana","4","2","2","0","0","0","4","2","2"
"15","Kansas","0","0","0","2","1","0","2","1","0"
"16","Louisiana","121","92","2","2","2","0","123","94","2"
"17","Maryland","17","15","0","0","0","0","17","15","0"
"18","Massachusetts","0","0","0","3","3","0","3","3","0"
"19","Michigan","1","1","0","2","0","0","3","1","0"
"20","Minnesota","235","191","1","0","0","0","235","191","1"
"21","Mississippi","0","0","0","0","0","0","0","0","0"
"22","Missouri","16","15","3","0","0","0","16","15","3"
"23","Montana","1","0","0","0","0","0","1","0","0"
"24","Nevada","140","58","35","0","0","0","140","58","35"
"25","North Dakota","4","0","0","1","1","0","5","1","0"
"26","Ohio","1","0","0","0","0","0","1","0","0"
"27","Oklahoma","42","37","1","4","3","0","46","40","1"
"28","Oregon","0","0","0","0","0","0","0","0","0"
"29","Puerto Rico","0","0","0","0","0","0","0","0","0"
"30","Rhode Island","5","2","0","1","0","0","6","2","0"
"31","South Carolina","15","9","2","7","7","0","22","16","2"
"32","South Dakota","0","0","0","0","0","0","0","0","0"
"33","Tennessee","55","26","0","0","0","0","55","26","0"
"34","Texas","130","51","2","127","27","0","257","78","2"
"35","U.S. Virgin Islands","0","0","0","0","0","0","0","0","0"
"36","Utah","0","0","0","0","0","0","0","0","0"
"37","Vermont","2","2","0","0","0","0","2","2","0"
"38","Washington","13","3","0","1","1","0","14","4","0"
"39","Wisconsin","34","19","1","1","0","0","35","19","1"
"40","Wyoming","3","2","0","2","1","0","5","3","0"
