"","Table 2","..2","..3","..4","..5","..6","..7","..8","..9","..10"
"1","Human Trafficking",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Offenses and Clearances by State, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","State","Commercial sex acts",NA,NA,"Involuntary servitude",NA,NA,"Total",NA,NA
"4",NA,"Offenses","Total  
cleared","Clearances 
under 18","Offenses","Total 
cleared","Clearances 
under 18","Offenses","Total 
cleared","Clearances 
under 18"
"5","Alaska","11","3","0","0","0","0","11","3","0"
"6","Arizona","15","8","0","0","0","0","15","8","0"
"7","California","0","0","0","0","0","0","0","0","0"
"8","Colorado","11","0","0","2","0","0","13","0","0"
"9","Delaware","0","0","0","0","0","0","0","0","0"
"10","Florida","57","44","0","3","3","0","60","47","0"
"11","Guam","0","0","0","0","0","0","0","0","0"
"12","Hawaii","0","0","0","0","0","0","0","0","0"
"13","Idaho","0","0","0","0","0","0","0","0","0"
"14","Illinois","50","0","0","17","0","0","67","0","0"
"15","Indiana","0","0","0","0","0","0","0","0","0"
"16","Kansas","1","1","0","0","0","0","1","1","0"
"17","Massachusetts","6","4","0","1","0","0","7","4","0"
"18","Michigan","2","2","0","1","0","0","3","2","0"
"19","Minnesota","22","5","0","1","1","0","23","6","0"
"20","Missouri","5","2","1","1","0","0","6","2","1"
"21","Mississippi","0","0","0","0","0","0","2","1","0"
"22","Montana","1","0","0","0","0","0","1","0","0"
"23","Nevada","0","0","0","0","0","0","0","0","0"
"24","Ohio","0","0","0","0","0","0","0","0","0"
"25","Oklahoma","10","7","0","0","0","0","10","7","0"
"26","Oregon","0","0","0","0","0","0","0","0","0"
"27","South Dakota","0","0","0","0","0","0","0","0","0"
"28","Tennessee","29","0","0","1","0","0","30","0","0"
"29","Texas","78","22","5","113","17","3","191","39","8"
"30","Utah","0","0","0","0","0","0","0","0","0"
"31","U. S. Virgin Islands","0","0","0","0","0","0","0","0","0"
"32","Washington","2","0","0","0","0","0","2","0","0"
"33","Wyoming","0","0","0","1","0","0","1","0","0"
