"","state","year","population"
"1","Alabama","2010",4780138
"2","Alaska","2010",710249
"3","Arizona","2010",6392288
"4","Arkansas","2010",2916028
"5","California","2010",37254523
"6","Colorado","2010",5029316
"7","Connecticut","2010",3574147
"8","Delaware","2010",897934
"9","District of Columbia","2010",601766
"10","Florida","2010",18804580
"11","Georgia","2010",9688709
"12","Guam","2010",159444
"13","Hawaii","2010",1360307
"14","Idaho","2010",1567657
"15","Illinois","2010",12831572
"16","Indiana","2010",6484061
"17","Iowa","2010",3046872
"18","Kansas","2010",2853126
"19","Kentucky","2010",4339333
"20","Louisiana","2010",4533485
"21","Maine","2010",1328369
"22","Maryland","2010",5773798
"23","Massachusetts","2010",6547790
"24","Michigan","2010",9884117
"25","Minnesota","2010",5303925
"26","Mississippi","2010",2968118
"27","Missouri","2010",5988952
"28","Montana","2010",989409
"29","Nebraska","2010",1826305
"30","Nevada","2010",2700679
"31","New Hampshire","2010",1316464
"32","New Jersey","2010",8791962
"33","New Mexico","2010",2059180
"34","New York","2010",19378124
"35","North Carolina","2010",9535736
"36","North Dakota","2010",672576
"37","Ohio","2010",11536757
"38","Oklahoma","2010",3751583
"39","Oregon","2010",3831075
"40","Pennsylvania","2010",12702873
"41","Rhode Island","2010",1052957
"42","South Carolina","2010",4625381
"43","South Dakota","2010",814198
"44","Tennessee","2010",6346286
"45","Texas","2010",25146114
"46","Utah","2010",2763891
"47","Vermont","2010",625744
"48","Virginia","2010",8001055
"49","Washington","2010",6724540
"50","West Virginia","2010",1853001
"51","Wisconsin","2010",5687282
"52","Wyoming","2010",563773
"53","U.S. Virgin Islands","2010",109750
"54","Puerto Rico","2010",3726157
"55","Alabama","2011",4785448
"56","Alaska","2011",713906
"57","Arizona","2011",6407774
"58","Arkansas","2011",2921978
"59","California","2011",37320903
"60","Colorado","2011",5048281
"61","Connecticut","2011",3579125
"62","Delaware","2011",899595
"63","District of Columbia","2011",605085
"64","Florida","2011",18845785
"65","Georgia","2011",9711810
"66","Guam","2011",159444
"67","Hawaii","2011",1363963
"68","Idaho","2011",1570773
"69","Illinois","2011",12840762
"70","Indiana","2011",6490436
"71","Iowa","2011",3050767
"72","Kansas","2011",2858213
"73","Kentucky","2011",4348200
"74","Louisiana","2011",4544532
"75","Maine","2011",1327632
"76","Maryland","2011",5788642
"77","Massachusetts","2011",6566431
"78","Michigan","2011",9877535
"79","Minnesota","2011",5310843
"80","Mississippi","2011",2970536
"81","Missouri","2011",5995976
"82","Montana","2011",990722
"83","Nebraska","2011",1829536
"84","Nevada","2011",2702464
"85","New Hampshire","2011",1316777
"86","New Jersey","2011",8799624
"87","New Mexico","2011",2064588
"88","New York","2011",19400080
"89","North Carolina","2011",9574293
"90","North Dakota","2011",674710
"91","Ohio","2011",11539327
"92","Oklahoma","2011",3759632
"93","Oregon","2011",3837532
"94","Pennsylvania","2011",12711158
"95","Rhode Island","2011",1053938
"96","South Carolina","2011",4635656
"97","South Dakota","2011",816165
"98","Tennessee","2011",6355301
"99","Texas","2011",25242679
"100","Utah","2011",2775334
"101","Vermont","2011",625880
"102","Virginia","2011",8023680
"103","Washington","2011",6742902
"104","West Virginia","2011",1854214
"105","Wisconsin","2011",5690479
"106","Wyoming","2011",564483
"107","U.S. Virgin Islands","2011",109750
"108","Puerto Rico","2011",3721525
"109","Alabama","2012",4798834
"110","Alaska","2012",722038
"111","Arizona","2012",6473497
"112","Arkansas","2012",2940407
"113","California","2012",37641823
"114","Colorado","2012",5121771
"115","Connecticut","2012",3588023
"116","Delaware","2012",907316
"117","District of Columbia","2012",619602
"118","Florida","2012",19093352
"119","Georgia","2012",9801578
"120","Guam","2012",159678
"121","Hawaii","2012",1379252
"122","Idaho","2012",1583828
"123","Illinois","2012",12867291
"124","Indiana","2012",6516045
"125","Iowa","2012",3066054
"126","Kansas","2012",2869035
"127","Kentucky","2012",4369488
"128","Louisiana","2012",4575184
"129","Maine","2012",1328150
"130","Maryland","2012",5838991
"131","Massachusetts","2012",6613149
"132","Michigan","2012",9881521
"133","Minnesota","2012",5345668
"134","Mississippi","2012",2978470
"135","Missouri","2012",6009641
"136","Montana","2012",997221
"137","Nebraska","2012",1840538
"138","Nevada","2012",2712799
"139","New Hampshire","2012",1319815
"140","New Jersey","2012",8827783
"141","New Mexico","2012",2080395
"142","New York","2012",19498514
"143","North Carolina","2012",9656754
"144","North Dakota","2012",685136
"145","Ohio","2012",11543463
"146","Oklahoma","2012",3787821
"147","Oregon","2012",3871728
"148","Pennsylvania","2012",12744583
"149","Rhode Island","2012",1053536
"150","South Carolina","2012",4671422
"151","South Dakota","2012",823484
"152","Tennessee","2012",6397410
"153","Texas","2012",25646227
"154","Utah","2012",2814216
"155","Vermont","2012",626979
"156","Virginia","2012",8100469
"157","Washington","2012",6821655
"158","West Virginia","2012",1856074
