state,region,region_description
Alabama,5,Gulf Coast East
Alaska,9,Southwest/Pacific
Arizona,9,Southwest/Pacific
Arkansas,8,Plains
California,9,Southwest/Pacific
Colorado,10,Rockies/Mid-West
Connecticut,2,Mideast North
Delaware,3,Mideast South
Florida,5,Gulf Coast East
Georgia,5,Gulf Coast East
Guam,9,Southwest/Pacific
Hawaii,9,Southwest/Pacific
Idaho,12,Northeast
Illinois,7,North Central
Indiana,7,North Central
Iowa,8,Plains
Kansas,10,Rockies/Mid-West
Kentucky,6,Central
Louisiana,11,Gulf Coast West
Maine,1,New England
Maryland,4,Mid-Atlantic
Massachusetts,1,New England
Michigan,6,Central
Minnesota,7,North Central
Mississippi,5,Gulf Coast East
Missouri,8,Plains
Montana,12,Northeast
Nebraska,8,Plains
Nevada,9,Southwest/Pacific
New Hampshire,1,New England
New Jersey,3,Mideast South
New Mexico,10,Rockies/Mid-West
New York,2,Mideast North
North Carolina,4,Mid-Atlantic
North Dakota,8,Plains
Puerto Rico,5,Gulf Coast East
Ohio,6,Central
Oklahoma,10,Rockies/Mid-West
Oregon,12,Northeast
Pennsylvania,3,Mideast South
Rhode Island,1,New England
South Carolina,4,Mid-Atlantic
South Dakota,8,Plains
Tennessee,6,Central
Texas,11,Gulf Coast West
U.S. Virgin Islands,5,Gulf Coast East
Utah,10,Rockies/Mid-West
Vermont,2,Mideast North
Virginia,4,Mid-Atlantic
Washington,12,Northeast
West Virginia,4,Mid-Atlantic
Wisconsin,7,North Central
Wyoming,10,Rockies/Mid-West
